EEC_MEASURE;SEX;AGE;EMPFORM;EMPSTA;PCS;EDUC;IMMI;WKTIME;ACTIVITY;UNDEREMP;UNEMPDUR;COMPOHALO;ANCSORFI2;UNIT_MULT;OBS_STATUS;CONF_STATUS;FREQ;DECIMALS;TIME_PERIOD;OBS_VALUE
PT_AGE_IN_EMP_BY_PCS;F;Y20T24;_T;1;65;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;1.3
PT_AGE_IN_EMP_BY_PCS;F;Y20T24;_T;1;3_NP;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;0
PT_AGE_IN_EMP_BY_PCS;F;Y15T24;_T;1;3_NP;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;0
PT_AGE_IN_EMP_BY_PCS;F;Y30T34;_T;1;54;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;9.3
PT_AGE_IN_EMP_BY_PCS;F;Y25T49;_T;1;40;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;33.7
PT_AGE_IN_EMP_BY_PCS;F;Y15T19;_T;1;40;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;0.5
PT_AGE_IN_EMP_BY_PCS;F;Y15T19;_T;1;56;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;3.4
PT_AGE_IN_EMP_BY_PCS;F;Y40T44;_T;1;42;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;8.1
PT_AGE_IN_EMP_BY_PCS;_T;Y40T44;_T;1;45;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;13.4
PT_AGE_IN_EMP_BY_PCS;_T;Y15T19;_T;1;44;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;0
PT_AGE_IN_EMP_BY_PCS;_T;Y35T39;_T;1;20;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;13.8
PT_AGE_IN_EMP_BY_PCS;_T;Y50T64;_T;1;60;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;30.4
PT_AGE_IN_EMP_BY_PCS;_T;Y15T24;_T;1;45;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;2.5
PT_AGE_IN_EMP_BY_PCS;_T;Y20T24;_T;1;38;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;5.1
PT_AGE_IN_EMP_BY_PCS;_T;Y50T64;_T;1;40;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;27.3
PT_AGE_IN_EMP_BY_PCS;_T;Y60T64;_T;1;47;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;3.9
PT_AGE_IN_EMP_BY_PCS;_T;Y50T54;_T;1;62;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;14.7
PT_AGE_IN_EMP_BY_PCS;_T;Y45T49;_T;1;5_NP;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;7.4
EMP;_T;Y40T44;_T;1;4_NP;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;2.3
EMP;_T;Y25T49;_T;1;64;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;345.5
PT_UNEMPDUR_VLT_IN_UNEMP_BY_AGE;_T;Y25T49;_T;2;_T;_T;_T;_T;_T;_T;VLT;_T;_T;-2;A;F;A;;2023;10.5
EMP;_T;Y35T39;_T;1;37;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;264.2
EMP;_T;Y15T24;_T;1;62;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;91.8
EMP;_T;Y40T44;_T;1;50;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;784.3
EMP;_T;Y_GE65;_T;1;50;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;128
EMP;_T;Y40T44;_T;1;5_NP;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;0.4
EMP;_T;Y25T29;_T;1;42;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;104.1
EMP;_T;Y45T49;_T;1;50;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;826.5
EMP;_T;Y50T64;_T;1;60;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;1618.4
UNEMPRATE;M;Y50T64;_T;2;_T;0T2;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;7.9
UNEMP;F;Y_GE15;_T;2;_T;3A;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;195.9
UNEMP;_T;Y_GE15;_T;2;_T;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;2262.9
UNEMP;F;Y_GE15;_T;2;65;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;4
UNEMP;_T;Y_GE15;_T;2;47;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;57.8
UNEMPRATE;_T;Y_GE15;_T;2;46;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;6.8
UNEMPRATE;F;Y_GE15;_T;2;35;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;10.7
UNEMP;_T;Y_GE15;_T;2;44;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;0.1
UNEMPRATE;F;Y_GE15;_T;2;4_NP;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;4.8
UNEMP;M;Y_GE15;_T;2;38;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;59.3
UNEMPRATE;F;Y_GE15;_T;2;_T;3A;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;7.6
UNEMPRATE;_T;Y15T19;_T;2;_T;_T;10;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;32.1
UNEMPB;M;Y_GE15;_T;2;_T;_T;_T;_T;_T;_T;VLT;_T;_T;3;A;F;A;;2023;140
UNEMPRATE;_T;Y25T49;_T;2;_T;_T;10;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;11.3
UNEMP;F;Y45T49;_T;2;_T;_T;21;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;11.7
UNEMPB_T;M;Y40T44;_T;2;_T;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;108.2
UNEMP;M;Y65T69;_T;2;_T;_T;10;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;4.9
UNEMP;_T;Y15T24;_T;2;_T;_T;10;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;38.5
UNEMPB_T;F;Y25T29;_T;2;_T;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;158.5
UNEMPB_T;F;Y35T39;_T;2;_T;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;101.3
UNEMPRATE;_T;Y65T69;_T;2;_T;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;4.7
UNEMPB_T;F;Y_GE15;_T;2;_T;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;1085.5
PT_AGE_IN_EMP_BY_PCS;F;Y_GE65;_T;1;31;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;2.5
PT_AGE_IN_EMP_BY_PCS;F;Y50T64;_T;1;47;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;4.3
PT_AGE_IN_EMP_BY_PCS;F;Y30T34;_T;1;35;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;4.9
PT_AGE_IN_EMP_BY_PCS;F;Y45T49;_T;1;5_NP;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;5.3
PT_AGE_IN_EMP_BY_PCS;F;Y30T34;_T;1;46;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;7.8
PT_AGE_IN_EMP_BY_PCS;F;Y50T64;_T;1;46;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;15.9
PT_AGE_IN_EMP_BY_PCS;F;Y50T64;_T;1;52;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;32.7
PT_AGE_IN_EMP_BY_PCS;F;Y_GE65;_T;1;37;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;0.3
PT_AGE_IN_EMP_BY_PCS;F;Y55T59;_T;1;_X;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;3.7
PT_AGE_IN_EMP_BY_PCS;F;Y15T24;_T;1;44;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;0
EMP;F;Y50T54;_T;1;56;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;179
EMP;F;Y30T34;_T;1;56;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;111.5
EMP;F;Y15T19;_T;1;50;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;171.1
EMP;F;Y15T24;_T;1;45;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;9
EMP;F;Y20T24;_T;1;50;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;510.7
EMP;F;Y30T34;_T;1;65;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;7.3
EMP;F;Y45T49;_T;1;67;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;24.5
EMP;F;Y_GE65;_T;1;_T;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;262.2
EMP;F;Y15T19;_T;1;60;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;29.7
EMP;F;Y15T19;_T;1;5_NP;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;0.3
EMP;F;Y45T49;_T;1;68;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;34.3
EMP;M;Y60T64;_T;1;60;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;173.3
EMP;M;Y20T24;_T;1;63;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;126.1
EMP;M;Y45T49;_T;1;65;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;49
EMP;F;Y45T49;_T;1;33;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;41.4
EMP;F;Y15T24;_T;1;44;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;0
EMP;M;Y25T49;_T;1;56;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;128.7
EMP;M;Y60T64;_T;1;62;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;34.3
EMP;F;Y50T54;_T;1;2_NP;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;0
EMP;F;Y15T24;_T;1;43;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;141.1
EMP;M;Y15T24;_T;1;62;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;80.1
EMP;M;Y50T54;_T;1;64;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;90.9
PT_AGE_IN_EMP_BY_PCS;_T;Y25T49;_T;1;31;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;58.2
PT_AGE_IN_EMP_BY_PCS;_T;Y40T44;_T;1;2_NP;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;27.6
PT_AGE_IN_EMP_BY_PCS;_T;Y20T24;_T;1;43;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;8.4
PT_AGE_IN_EMP_BY_PCS;_T;Y45T49;_T;1;50;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;11.5
PT_AGE_IN_EMP_BY_PCS;_T;Y50T64;_T;1;50;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;31.3
PT_AGE_IN_EMP_BY_PCS;_T;Y_GE65;_T;1;2_NP;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;0
PT_AGE_IN_EMP_BY_PCS;_T;Y_GE65;_T;1;62;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;0.4
PT_AGE_IN_EMP_BY_PCS;_T;Y_GE15;_T;1;44;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;100
PT_AGE_IN_EMP_BY_PCS;_T;Y45T49;_T;1;22;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;13.4
PT_AGE_IN_EMP_BY_PCS;_T;Y15T19;_T;1;22;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;0.3
EMP;_T;Y45T49;_T;1;60;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;599.4
EMP;_T;Y15T19;_T;1;47;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;19.3
EMP;_T;Y60T64;_T;1;45;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;36.6
EMP;_T;Y25T49;_T;1;_X;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;56.3
EMP;_T;Y20T24;_T;1;53;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;42.9
EMP;_T;Y15T24;_T;1;63;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;211.2
EMP;_T;Y60T64;_T;1;46;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;63.2
EMP;_T;Y25T49;_T;1;63;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;831.7
EMP;_T;Y50T64;_T;1;47;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;340.5
EMP;_T;Y50T64;_T;1;45;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;202.4
EMP;_T;Y15T19;_T;1;63;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;68
PT_AGE_IN_EMP_BY_PCS;F;Y60T64;_T;1;_T;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;3
PT_AGE_IN_EMP_BY_PCS;F;Y45T49;_T;1;62;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;2.8
PT_AGE_IN_EMP_BY_PCS;F;Y50T54;_T;1;44;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;1.5
PT_AGE_IN_EMP_BY_PCS;F;Y50T64;_T;1;4_NP;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;10.6
PT_AGE_IN_EMP_BY_PCS;F;Y35T39;_T;1;69;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;3.2
PT_AGE_IN_EMP_BY_PCS;F;Y30T34;_T;1;69;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;4.6
PT_AGE_IN_EMP_BY_PCS;F;Y60T64;_T;1;48;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;0.5
PT_AGE_IN_EMP_BY_PCS;F;Y50T54;_T;1;42;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;10
PT_AGE_IN_EMP_BY_PCS;F;Y_GE65;_T;1;33;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;1.9
PT_AGE_IN_EMP_BY_PCS;F;Y25T29;_T;1;54;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;8.8
UNEMP;_T;Y60T64;_T;2;_T;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;110.4
UNEMPRATE;F;Y_GE15;_T;2;6_NP;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;3.2
UNEMPRATE;M;Y_GE15;_T;2;56;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;18.1
UNEMPRATE;_T;Y_GE15;_T;2;52;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;5.9
UNEMP;F;Y_GE65;_T;2;_T;3A;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;1.4
UNEMP;_T;Y15T74;_T;2;_T;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;2262.9
UNEMPRATE;M;Y_GE15;_T;2;40;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;4.9
UNEMPRATE;F;Y_GE15;_T;2;62;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;7
UNEMPRATE;_T;Y_GE15;_T;2;20;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;3.4
UNEMP;_T;Y_GE65;_T;2;_T;4T5;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;1.1
UNEMPRATE;_T;Y_GE65;_T;2;_T;0T2;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;4.2
UNEMPRATE;M;Y50T64;_T;2;_T;_T;22;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;4.5
UNEMPB;_T;Y15T19;_T;2;_T;_T;_T;_T;_T;_T;VLT;_T;_T;3;A;F;A;;2023;2.1
UNEMPB;M;Y60T64;_T;2;_T;_T;_T;_T;_T;_T;LT;_T;_T;3;A;F;A;;2023;27.7
PT_UNEMPDUR_LT_IN_UNEMP_BY_AGE;_T;Y_GE65;_T;2;_T;_T;_T;_T;_T;_T;LT;_T;_T;-2;A;F;A;;2023;38.4
UNEMP;_T;Y65T69;_T;2;_T;_T;10;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;6.6
UNEMPB;M;Y35T39;_T;2;_T;_T;_T;_T;_T;_T;LT;_T;_T;3;A;F;A;;2023;32.4
UNEMPB_T;_T;Y50T64;_T;2;_T;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;477.3
UNEMPB;M;Y50T54;_T;2;_T;_T;_T;_T;_T;_T;LT;_T;_T;3;A;F;A;;2023;35.7
UNEMPB;M;Y40T44;_T;2;_T;_T;_T;_T;_T;_T;VLT;_T;_T;3;A;F;A;;2023;13.8
UNEMP;M;Y70T74;_T;2;_T;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;1.4
UNEMPB_T;M;Y35T39;_T;2;_T;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;108.8
EMP;F;Y60T64;_T;1;67;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;10.5
EMP;F;Y60T64;_T;1;_T;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;855.4
EMP;F;Y_GE65;_T;1;46;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;9.1
EMP;F;Y30T34;_T;1;69;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;12.2
EMP;_T;Y15T19;_T;1;33;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;0.2
EMP;F;Y50T64;_T;1;_T;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;4367
EMP;_T;Y15T19;_T;1;21;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;2.5
EMP;F;Y50T64;_T;1;55;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;175.7
EMP;F;Y25T49;_T;1;54;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;812
EMP;F;Y_GE65;_T;1;63;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;1.3
EMP;F;Y50T64;_T;1;47;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;59.3
PT_AGE_IN_EMP_BY_PCS;_T;Y55T59;_T;1;63;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;11.1
PT_AGE_IN_EMP_BY_PCS;_T;Y55T59;_T;1;23;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;15.4
PT_AGE_IN_EMP_BY_PCS;_T;Y35T39;_T;1;54;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;12.2
PT_AGE_IN_EMP_BY_PCS;_T;Y50T54;_T;1;3_NP;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;18.4
PT_AGE_IN_EMP_BY_PCS;_T;Y15T19;_T;1;20;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;0.2
PT_AGE_IN_EMP_BY_PCS;_T;Y15T24;_T;1;21;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;2.4
PT_AGE_IN_EMP_BY_PCS;_T;Y40T44;_T;1;20;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;13.4
PT_AGE_IN_EMP_BY_PCS;_T;Y55T59;_T;1;60;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;12.5
PT_AGE_IN_EMP_BY_PCS;_T;Y35T39;_T;1;44;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;0
PT_AGE_IN_EMP_BY_PCS;_T;Y40T44;_T;1;46;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;12.5
EMP;M;Y_GE65;_T;1;_X;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;1.4
EMP;M;Y35T39;_T;1;65;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;52.2
EMP;F;Y25T29;_T;1;20;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;44.3
EMP;F;Y15T24;_T;1;10;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;1.8
EMP;M;Y50T54;_T;1;55;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;24.3
EMP;M;Y50T64;_T;1;62;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;278.1
EMP;F;Y60T64;_T;1;40;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;178.9
EMP;M;Y_GE65;_T;1;56;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;11.4
EMP;F;Y45T49;_T;1;21;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;26.8
EMP;M;Y50T54;_T;1;68;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;42.2
EMP;M;Y20T24;_T;1;56;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;61.3
EMP;_T;Y_GE15;_T;1;42;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;1031.1
EMP;_T;Y50T54;_T;1;67;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;91.7
EMP;_T;Y30T34;_T;1;47;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;179.2
EMP;_T;Y_GE65;_T;1;3_NP;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;0.7
EMP;_T;Y45T49;_T;1;5_NP;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;0.5
EMP;_T;Y40T44;_T;1;_T;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;3528.3
EMP;_T;Y60T64;_T;1;48;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;22.5
EMP;_T;Y60T64;_T;1;47;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;54.3
EMP;_T;Y60T64;_T;1;37;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;92.6
EMP;_T;Y15T24;_T;1;_X;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;39.3
EMP;_T;Y_GE15;_T;1;62;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;1078.4
PT_AGE_IN_EMP_BY_PCS;F;Y30T34;_T;1;64;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;0.6
PT_AGE_IN_EMP_BY_PCS;F;Y15T24;_T;1;33;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;1.1
PT_AGE_IN_EMP_BY_PCS;F;Y50T54;_T;1;56;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;10.5
PT_AGE_IN_EMP_BY_PCS;F;Y60T64;_T;1;33;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;3.9
PT_AGE_IN_EMP_BY_PCS;F;Y_GE15;_T;1;54;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;83.1
PT_AGE_IN_EMP_BY_PCS;F;Y50T64;_T;1;37;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;14.5
PT_AGE_IN_EMP_BY_PCS;F;Y30T34;_T;1;44;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;0
PT_AGE_IN_EMP_BY_PCS;F;Y15T19;_T;1;_T;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;0.9
PT_AGE_IN_EMP_BY_PCS;F;Y25T49;_T;1;68;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;18.4
PT_AGE_IN_EMP_BY_PCS;F;Y50T54;_T;1;48;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;2.3
EMP;_T;Y20T24;_T;1;2_NP;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;0.4
EMP;_T;Y50T64;_T;1;30;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;1947.6
EMP;_T;Y_GE65;_T;1;21;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;31.1
EMP;_T;Y30T34;_T;1;35;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;44.8
EMP;F;Y60T64;_T;1;45;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;27
EMP;F;Y55T59;_T;1;64;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;5.4
EMP;F;Y55T59;_T;1;55;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;69.7
EMP;F;Y35T39;_T;1;48;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;10
EMP;F;Y35T39;_T;1;_X;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;4
EMP;_T;Y25T49;_T;1;30;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;4061.8
EMP;F;Y20T24;_T;1;67;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;28.4
UNEMPRATE;_T;Y30T34;_T;2;_T;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;7.3
UNEMP;M;Y_GE15;_T;2;20;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;40.1
UNEMP;F;Y30T34;_T;2;_T;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;120.7
UNEMP;_T;Y_GE15;_T;2;35;_T;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;45.9
UNEMP;M;Y50T64;_T;2;_T;0T2;_T;_T;_T;_T;_T;_T;_T;3;A;F;A;;2023;65.4
UNEMPRATE;M;Y15T64;_T;2;_T;_T;_T;_T;_T;_T;_T;_T;_T;-2;A;F;A;;2023;7.5
